,Geo_Type,Geo_Name,Geo_ID,UnemploymentRate_ESRI,UnemploymentRate_BLS,Unemployment_Adjustment
186,US.CBSA,"Cañon City, CO Micropolitan Statistical Area",15860,8.8,7.0,0.7954545454545454
187,US.CBSA,"Canton-Massillon, OH Metropolitan Statistical Area",15940,15.5,5.1,0.3290322580645161
188,US.CBSA,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",15980,8.5,5.5,0.6470588235294118
189,US.CBSA,"Cape Girardeau, MO-IL Metropolitan Statistical Area",16020,11.7,3.4,0.2905982905982906
190,US.CBSA,"Carbondale-Marion, IL Metropolitan Statistical Area",16060,12.1,4.6,0.3801652892561983
191,US.CBSA,"Carlsbad-Artesia, NM Micropolitan Statistical Area",16100,10.4,7.3,0.7019230769230769
192,US.CBSA,"Carroll, IA Micropolitan Statistical Area",16140,9.7,2.2,0.22680412371134023
193,US.CBSA,"Carson City, NV Metropolitan Statistical Area",16180,17.3,6.6,0.3815028901734104
194,US.CBSA,"Casper, WY Metropolitan Statistical Area",16220,9.6,7.8,0.8125
195,US.CBSA,"Cedar City, UT Micropolitan Statistical Area",16260,10.5,3.5,0.3333333333333333
196,US.CBSA,"Cedar Rapids, IA Metropolitan Statistical Area",16300,11.8,3.7,0.3135593220338983
197,US.CBSA,"Cedartown, GA Micropolitan Statistical Area",16340,13.2,3.8,0.2878787878787879
198,US.CBSA,"Celina, OH Micropolitan Statistical Area",16380,13.8,3.0,0.21739130434782608
199,US.CBSA,"Central City, KY Micropolitan Statistical Area",16420,18.0,9.4,0.5222222222222223
200,US.CBSA,"Centralia, IL Micropolitan Statistical Area",16460,12.9,5.0,0.38759689922480617
201,US.CBSA,"Centralia, WA Micropolitan Statistical Area",16500,17.2,6.3,0.36627906976744184
202,US.CBSA,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",16540,19.7,5.8,0.29441624365482233
203,US.CBSA,"Champaign-Urbana, IL Metropolitan Statistical Area",16580,10.7,4.1,0.38317757009345793
204,US.CBSA,"Charleston, WV Metropolitan Statistical Area",16620,8.9,6.6,0.7415730337078651
205,US.CBSA,"Charleston-Mattoon, IL Micropolitan Statistical Area",16660,12.3,4.3,0.3495934959349593
206,US.CBSA,"Charleston-North Charleston, SC Metropolitan Statistical Area",16700,9.9,4.0,0.40404040404040403
207,US.CBSA,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",16740,11.4,6.0,0.5263157894736842
208,US.CBSA,"Charlottesville, VA Metropolitan Statistical Area",16820,9.1,4.2,0.46153846153846156
209,US.CBSA,"Chattanooga, TN-GA Metropolitan Statistical Area",16860,11.7,5.7,0.4871794871794872
210,US.CBSA,"Cheyenne, WY Metropolitan Statistical Area",16940,10.4,4.5,0.43269230769230765
211,US.CBSA,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",16980,12.1,7.2,0.5950413223140496
212,US.CBSA,"Chico, CA Metropolitan Statistical Area",17020,15.9,7.4,0.46540880503144655
213,US.CBSA,"Chillicothe, OH Micropolitan Statistical Area",17060,16.3,4.7,0.2883435582822086
214,US.CBSA,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",17140,15.3,5.1,0.3333333333333333
215,US.CBSA,"Clarksburg, WV Micropolitan Statistical Area",17220,9.4,5.3,0.5638297872340425
216,US.CBSA,"Clarksdale, MS Micropolitan Statistical Area",17260,19.2,11.6,0.6041666666666666
217,US.CBSA,"Clarksville, TN-KY Metropolitan Statistical Area",17300,13.8,7.6,0.5507246376811593
218,US.CBSA,"Clearlake, CA Micropolitan Statistical Area",17340,15.9,7.7,0.48427672955974843
219,US.CBSA,"Cleveland, MS Micropolitan Statistical Area",17380,15.5,8.4,0.5419354838709678
220,US.CBSA,"Cleveland, TN Metropolitan Statistical Area",17420,12.2,6.8,0.5573770491803279
221,US.CBSA,"Cleveland-Elyria, OH Metropolitan Statistical Area",17460,15.3,5.8,0.3790849673202614
222,US.CBSA,"Clewiston, FL Micropolitan Statistical Area",17500,10.3,6.7,0.6504854368932038
223,US.CBSA,"Clinton, IA Micropolitan Statistical Area",17540,11.3,3.9,0.34513274336283184
224,US.CBSA,"Clovis, NM Micropolitan Statistical Area",17580,13.7,5.6,0.40875912408759124
225,US.CBSA,"Coeur d'Alene, ID Metropolitan Statistical Area",17660,12.2,6.5,0.5327868852459017
226,US.CBSA,"Coffeyville, KS Micropolitan Statistical Area",17700,12.1,5.8,0.4793388429752066
227,US.CBSA,"Coldwater, MI Micropolitan Statistical Area",17740,18.9,4.1,0.21693121693121692
228,US.CBSA,"College Station-Bryan, TX Metropolitan Statistical Area",17780,9.1,4.6,0.5054945054945055
229,US.CBSA,"Colorado Springs, CO Metropolitan Statistical Area",17820,8.9,6.0,0.6741573033707865
230,US.CBSA,"Columbia, MO Metropolitan Statistical Area",17860,11.3,2.6,0.23008849557522124
231,US.CBSA,"Columbia, SC Metropolitan Statistical Area",17900,10.2,3.8,0.37254901960784315
232,US.CBSA,"Columbus, GA-AL Metropolitan Statistical Area",17980,15.2,5.1,0.3355263157894737
233,US.CBSA,"Columbus, IN Metropolitan Statistical Area",18020,12.0,3.8,0.31666666666666665
234,US.CBSA,"Columbus, MS Micropolitan Statistical Area",18060,13.5,7.7,0.5703703703703704
235,US.CBSA,"Columbus, NE Micropolitan Statistical Area",18100,8.1,2.3,0.2839506172839506
236,US.CBSA,"Columbus, OH Metropolitan Statistical Area",18140,14.9,4.9,0.3288590604026846
237,US.CBSA,"Concord, NH Micropolitan Statistical Area",18180,14.5,3.1,0.21379310344827587
238,US.CBSA,"Connersville, IN Micropolitan Statistical Area",18220,14.4,6.5,0.4513888888888889
239,US.CBSA,"Cookeville, TN Micropolitan Statistical Area",18260,12.5,6.3,0.504
240,US.CBSA,"Coos Bay, OR Micropolitan Statistical Area",18300,11.5,6.9,0.6
241,US.CBSA,"Cordele, GA Micropolitan Statistical Area",18380,18.6,6.1,0.32795698924731176
242,US.CBSA,"Corinth, MS Micropolitan Statistical Area",18420,11.4,5.1,0.4473684210526315
243,US.CBSA,"Cornelia, GA Micropolitan Statistical Area",18460,12.7,3.4,0.2677165354330709
244,US.CBSA,"Corning, NY Micropolitan Statistical Area",18500,11.3,5.9,0.5221238938053098
245,US.CBSA,"Corpus Christi, TX Metropolitan Statistical Area",18580,9.0,8.4,0.9333333333333333
246,US.CBSA,"Corsicana, TX Micropolitan Statistical Area",18620,11.8,5.1,0.43220338983050843
247,US.CBSA,"Cortland, NY Micropolitan Statistical Area",18660,10.4,5.4,0.5192307692307693
248,US.CBSA,"Corvallis, OR Metropolitan Statistical Area",18700,9.9,4.7,0.47474747474747475
249,US.CBSA,"Coshocton, OH Micropolitan Statistical Area",18740,15.6,5.4,0.3461538461538462
250,US.CBSA,"Craig, CO Micropolitan Statistical Area",18780,6.8,4.3,0.6323529411764706
251,US.CBSA,"Crawfordsville, IN Micropolitan Statistical Area",18820,11.7,3.5,0.29914529914529914
252,US.CBSA,"Crescent City, CA Micropolitan Statistical Area",18860,15.2,8.0,0.5263157894736842
253,US.CBSA,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",18880,7.5,3.9,0.52
254,US.CBSA,"Crossville, TN Micropolitan Statistical Area",18900,13.3,7.5,0.5639097744360902
255,US.CBSA,"Cullman, AL Micropolitan Statistical Area",18980,10.6,3.2,0.30188679245283023
